ID,salary_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes,WS
butlera01,0.056,26,0.9634146341463414,0.24390243902439024,1875,23.734,0.044,10.8,0,0,1.71875
stevede01,0.018,24,1.0,1.0,2648,32.293,0.044,10.9,0,0,2.427333333333333
pargoja01,0.019,26,0.7045454545454546,0.0,665,10.726,-0.007,10.718,1,0,-0.09697916666666667
mournal01,0.127,35,0.819047619047619,0.19047619047619047,1528,17.767,0.177,22.438,5,0,5.634499999999999
barnema02,0.015,25,0.6829268292682927,0.06097560975609756,631,11.268,0.076,10.7,0,0,0.9990833333333332
banksma01,0.069,24,0.7073170731707317,0.35365853658536583,1497,25.81,0.074,13.6,0,0,2.3078749999999997
harrial01,0.144,25,0.926829268292683,0.926829268292683,2782,36.605,0.066,16.0,0,0,3.82525
evansre01,0.075,25,0.8275862068965517,0.28735632183908044,1462,20.306,0.072,13.06,1,0,2.193
princta01,0.148,25,1.0,1.0,3643,36.43,0.116,19.17,2,1,8.803916666666668
radmavl01,0.098,25,0.9468085106382979,0.30851063829787234,2220,24.944,0.092,15.569,1,0,4.255
boganke01,0.047,25,0.8780487804878049,0.3780487804878049,1912,26.556,0.058,10.7,0,0,2.3103333333333333
roseja01,0.304,33,0.8780487804878049,0.5487804878048781,1983,27.542,0.061,13.9,0,0,2.5200625
goodedr01,0.125,24,0.968421052631579,0.968421052631579,2456,26.696,0.146,19.727,1,0,7.470333333333333
jeffrja01,0.098,24,0.9431818181818182,0.9431818181818182,2166,26.096,0.076,12.57,1,0,3.4294999999999995
nowitdi01,0.284,27,0.9904761904761905,0.9904761904761905,4072,39.154,0.275,36.628,3,2,23.32916666666667
mohamna01,0.098,28,0.9263157894736842,0.3473684210526316,1483,16.852,0.156,16.482,1,0,4.81975
barroea01,0.017,25,0.34146341463414637,0.0,203,7.25,-0.071,6.6,1,0,-0.3002708333333333
wadedw01,0.234,25,0.6395348837209303,0.627906976744186,2093,38.055,0.219,30.175,1,2,9.549312500000001
krstine01,0.034,23,0.3170731707317073,0.3170731707317073,848,32.615,0.108,16.9,1,0,1.9080000000000001
atkinch01,0.054,32,0.9146341463414634,0.2804878048780488,2064,27.52,0.114,17.4,0,0,4.902
outlatr01,0.072,22,0.8170731707317073,0.012195121951219513,1532,22.866,0.072,15.3,0,0,2.2979999999999996
webbech01,0.352,33,0.7857142857142857,0.7755102040816326,2225,28.896,0.09,19.727,2,0,4.171875
smithjo02,0.093,31,0.7926829268292683,0.13414634146341464,1503,23.123,0.089,13.9,0,0,2.7868125
perkike01,0.081,22,0.8780487804878049,0.6463414634146342,1576,21.889,0.043,9.5,0,0,1.4118333333333333
cartevi01,0.239,30,1.0,1.0,3613,38.436,0.161,24.433,1,0,12.118604166666666
waltolu01,0.072,26,0.7471264367816092,0.7471264367816092,2110,32.462,0.092,15.307,1,0,4.0441666666666665
blakest01,0.076,26,1.0,0.5402298850574713,2405,27.644,0.045,10.62,1,0,2.2546874999999997
