Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
77,Richard Jefferson,SF,22,NJN,20,20,35.6,5.5,11.6,.476,0.0,0.2,.000,5.5,11.4,.482,.476,3.1,4.3,.718,1.5,4.9,6.4,2.4,0.8,0.2,2.3,3.4,14.1,jefferi01
78,Anthony Johnson,PG,28,NJN,17,0,7.2,1.0,1.8,.548,0.2,0.4,.500,0.8,1.5,.560,.597,0.3,0.4,.833,0.2,0.5,0.7,1.1,0.1,0.0,0.5,0.9,2.5,johnsan02
79,Ervin Johnson,C,35,MIL,6,3,12.7,0.5,1.3,.375,0.0,0.0,,0.5,1.3,.375,.375,0.0,0.0,,1.0,3.0,4.0,0.5,0.5,0.8,0.5,3.3,1.0,johnser02
80,Joe Johnson,SG,21,PHO,6,0,27.3,2.3,8.5,.275,0.3,2.2,.154,2.0,6.3,.316,.294,0.3,0.8,.400,1.0,3.3,4.3,1.3,0.7,0.3,2.0,2.5,5.3,johnsjo02
81,Shawn Kemp,C,33,ORL,7,0,10.3,1.1,3.0,.381,0.0,0.0,,1.1,3.0,.381,.381,0.7,0.9,.833,0.1,2.0,2.1,0.0,0.0,0.0,0.6,1.9,3.0,kempsh01
82,Steve Kerr,PG,37,SAS,10,0,4.6,0.7,1.1,.636,0.5,0.6,.833,0.2,0.5,.400,.864,0.3,0.4,.750,0.1,0.2,0.3,0.6,0.1,0.0,0.1,0.6,2.2,kerrst01
83,Jason Kidd*,PG,29,NJN,20,20,42.6,6.9,17.1,.402,1.7,5.2,.327,5.2,11.9,.435,.452,4.7,5.7,.825,1.8,5.9,7.7,8.2,1.8,0.2,4.0,2.3,20.1,kiddja01
84,Andrei Kirilenko,SF,21,UTA,5,0,29.0,3.6,8.6,.419,0.2,1.4,.143,3.4,7.2,.472,.430,4.2,4.8,.875,1.6,3.2,4.8,1.4,0.6,2.0,1.2,1.2,11.6,kirilan01
85,Kerry Kittles,SG,28,NJN,20,20,30.7,4.0,10.0,.395,1.3,3.2,.413,2.7,6.9,.387,.460,1.6,2.1,.762,1.0,2.6,3.5,2.0,1.5,0.3,0.9,2.0,10.8,kittlke01
86,Toni Kukoč*,PF,34,MIL,6,0,30.7,5.3,10.8,.492,1.8,4.8,.379,3.5,6.0,.583,.577,2.3,3.3,.700,1.0,3.2,4.2,3.7,2.2,0.2,1.8,2.0,14.8,kukocto01
87,Raef LaFrentz,C,26,DAL,20,16,24.6,3.4,7.9,.433,0.4,2.0,.200,3.0,5.9,.513,.459,0.8,1.0,.842,1.8,2.6,4.4,0.3,0.6,2.2,0.7,4.3,8.0,lafrera01
88,Grant Long,PF,36,BOS,8,0,4.3,0.1,0.5,.250,0.0,0.0,,0.1,0.5,.250,.250,0.0,0.0,,0.4,0.3,0.6,0.1,0.0,0.0,0.1,0.1,0.3,longgr01
89,George Lynch,SG,32,NOH,6,3,27.2,3.0,7.0,.429,0.8,3.0,.278,2.2,4.0,.542,.488,0.2,0.7,.250,1.7,4.5,6.2,1.7,1.0,0.8,1.3,2.3,7.0,lynchge01
90,Mark Madsen,PF,27,LAL,12,2,14.1,1.1,2.6,.419,0.0,0.1,.000,1.1,2.5,.433,.419,0.6,1.3,.438,1.2,1.2,2.3,1.0,0.3,0.2,0.7,2.7,2.8,madsema01
91,Jamaal Magloire,C,24,NOH,6,6,31.3,3.7,8.2,.449,0.0,0.0,,3.7,8.2,.449,.449,4.2,5.5,.758,2.8,5.5,8.3,0.3,0.7,1.0,1.5,2.5,11.5,magloja01
92,Karl Malone*,PF,39,UTA,5,5,38.2,6.8,16.8,.405,0.0,0.2,.000,6.8,16.6,.410,.405,6.0,8.2,.732,1.4,5.4,6.8,4.0,1.6,0.4,4.0,3.0,19.6,malonka01
93,Danny Manning,PF,36,DET,4,0,3.5,0.3,0.8,.333,0.0,0.3,.000,0.3,0.5,.500,.333,0.0,0.0,,0.3,0.5,0.8,0.0,0.0,0.3,0.0,1.0,0.5,mannida01
94,Stephon Marbury,PG,25,PHO,6,6,45.3,8.5,22.7,.375,0.8,3.7,.227,7.7,19.0,.404,.393,4.2,5.5,.758,1.0,3.0,4.0,5.7,1.2,0.0,3.8,4.3,22.0,marbust01
95,Shawn Marion,SF,24,PHO,6,6,47.0,6.7,17.8,.374,1.5,4.7,.321,5.2,13.2,.392,.416,3.7,4.3,.846,3.5,8.2,11.7,2.0,1.8,1.8,2.2,2.8,18.5,mariosh01
96,Kenyon Martin,PF,25,NJN,20,20,38.9,7.5,16.5,.453,0.1,0.6,.091,7.4,15.9,.465,.454,4.0,5.7,.693,2.5,6.9,9.4,2.9,1.5,1.6,2.9,4.6,18.9,martike01
97,Jamal Mashburn,SF,30,NOH,4,4,40.5,8.5,19.8,.430,1.5,3.8,.400,7.0,16.0,.438,.468,6.3,8.8,.714,0.0,3.5,3.5,5.3,1.0,0.3,2.5,1.0,24.8,mashbja01
98,Anthony Mason,C,36,MIL,6,0,26.2,1.2,2.8,.412,0.0,0.0,,1.2,2.8,.412,.412,1.5,2.2,.692,0.7,2.7,3.3,0.2,0.5,0.2,1.3,2.8,3.8,masonan01
99,Desmond Mason,SF,25,MIL,6,6,34.0,4.7,9.2,.509,0.0,0.7,.000,4.7,8.5,.549,.509,3.7,5.2,.710,1.0,6.0,7.0,0.8,1.0,0.7,1.2,3.2,13.0,masonde01
100,Tony Massenburg,C,35,UTA,5,0,14.0,2.0,4.2,.476,0.0,0.0,,2.0,4.2,.476,.476,1.0,1.8,.556,1.4,2.8,4.2,0.4,0.0,0.8,1.0,1.8,5.0,masseto01
101,Walter McCarty,SF,28,BOS,10,8,35.2,3.6,7.5,.480,2.1,5.2,.404,1.5,2.3,.652,.620,0.6,0.7,.857,1.0,3.3,4.3,2.2,0.8,0.5,1.1,3.5,9.9,mccarwa01
102,Tracy McGrady*,SG,23,ORL,7,7,44.0,10.6,23.6,.448,2.3,6.7,.340,8.3,16.9,.492,.497,8.3,10.7,.773,1.4,5.3,6.7,4.7,2.0,0.9,3.7,2.3,31.7,mcgratr01
103,Jeff McInnis,PG,28,POR,7,0,14.1,1.3,3.7,.346,0.0,0.4,.000,1.3,3.3,.391,.346,0.4,0.6,.750,0.7,1.0,1.7,2.7,0.3,0.1,0.9,1.6,3.0,mcinnje01
104,Aaron McKie,SF,30,PHI,12,0,26.3,3.2,5.9,.535,0.4,0.8,.556,2.8,5.2,.532,.570,1.0,1.2,.857,0.4,3.2,3.6,1.8,0.8,0.2,1.3,2.6,7.8,mckieaa01
105,Stanislav Medvedenko,PF,23,LAL,9,0,8.1,1.7,3.0,.556,0.0,0.0,,1.7,3.0,.556,.556,0.4,0.7,.667,0.4,1.6,2.0,0.1,0.1,0.1,0.3,1.6,3.8,medvest01
106,Ron Mercer,SG,26,IND,6,0,22.5,2.7,8.2,.327,0.0,0.0,,2.7,8.2,.327,.327,1.2,1.3,.875,0.3,1.8,2.2,1.2,1.0,0.2,0.8,1.8,6.5,mercero01
