const,ID,season,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
1.0,cavanty01,2018,23.0,0.47560975609756095,0.012195121951219513,518.0,13.282,0.111,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,klebima01,2019,27.0,0.8658536585365854,0.21951219512195122,1502.0,21.155,0.112,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,maxieja01,2014,30.0,0.4146341463414634,0.15853658536585366,488.0,14.353,0.03,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bealbr01,2021,27.0,0.8441558441558441,0.8441558441558441,2342.0,36.031,0.132,24.289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,brewero02,2010,24.0,0.7073170731707317,0.6463414634146342,1742.0,30.034,0.102,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,smartma01,2018,23.0,0.6831683168316832,0.1485148514851485,2063.0,29.899,0.057,14.055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,gordobe01,2008,24.0,0.8780487804878049,0.32926829268292684,2291.0,31.819,0.107,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,duncati01,2012,35.0,0.9,0.9,2097.0,29.125,0.173,28.989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,brunsja01,2022,25.0,0.97,0.79,3153.0,32.505,0.143,22.109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,wilcoch01,2009,26.0,0.7560975609756098,0.07317073170731707,1049.0,16.919,0.05,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
